Time,Press,GeopAlt,Temp,RH,O3_mPa,O3_ppmv,O3_DU,Wind_Dir,Wind_Spd,TPump,O3CellI,GPS_Lat,GPS_Lon,GPS_Alt
sec,hPa,km,C,%,mPa,ppmv,DU,deg,m/s,C,uA,deg,deg,km
0,826.3,1.8,22.3,62,3.8806,0.047,0,42,1.9,40.79,0.99,-1.3018,36.7593,9000
2,824.01,1.824,22.1,53,3.8806,0.0471,0.09,89,1.4,40.79,0.99,-1.3018,36.7591,9000
4,822.7,1.838,21.98,53,3.8806,0.0472,0.13,91,1.6,40.79,0.99,-1.3018,36.7591,9000
6,821.55,1.85,21.96,54,3.8398,0.0467,0.18,88,1.8,40.79,0.98,-1.3018,36.7591,9000
8,820.61,1.86,21.88,55,3.8398,0.0468,0.21,87,2,40.79,0.98,-1.3017,36.759,9000
10,819.83,1.868,21.7,55,3.8399,0.0468,0.24,87,2.1,40.8,0.98,-1.3017,36.7589,9000
12,818.83,1.879,21.41,55,3.8808,0.0474,0.28,86,2.2,40.8,0.99,-1.3017,36.7588,9000
14,817.88,1.889,21.24,56,4.0033,0.0489,0.31,87,2.3,40.8,1.02,-1.3018,36.7588,9000
16,817.01,1.898,21.12,56,4.0034,0.049,0.35,87,2.3,40.81,1.02,-1.3018,36.7587,9000
18,816.17,1.907,20.98,57,4.0034,0.0491,0.38,87,2.3,40.81,1.02,-1.3019,36.7587,9000
20,815.32,1.916,20.89,58,4.0443,0.0496,0.41,88,2.3,40.81,1.03,-1.3019,36.7587,9000
22,814.44,1.926,20.81,58,4.0852,0.0502,0.45,89,2.2,40.81,1.04,-1.3018,36.7587,9000
24,813.34,1.937,20.67,59,4.0852,0.0502,0.49,90,2.2,40.81,1.04,-1.3018,36.7587,9000
26,812.21,1.949,20.57,60,4.126,0.0508,0.54,91,2.1,40.81,1.05,-1.3018,36.7586,9000
28,811,1.962,20.5,62,4.126,0.0509,0.58,92,2.1,40.81,1.05,-1.3018,36.7585,9000
30,809.86,1.974,20.45,63,4.126,0.0509,0.63,92,2,40.81,1.05,-1.3019,36.7585,9000
32,808.77,1.986,20.27,64,4.126,0.051,0.67,92,2,40.81,1.05,-1.3018,36.7585,9000
34,807.51,2,19.97,65,4.1261,0.0511,0.72,91,1.9,40.81,1.05,-1.3017,36.7585,9000
36,806.05,2.015,19.9,65,4.1261,0.0512,0.78,90,1.9,40.81,1.05,-1.3017,36.7584,9000
38,804.53,2.032,19.82,65,4.1261,0.0513,0.85,88,1.8,40.82,1.05,-1.3017,36.7583,9000
40,803.25,2.045,19.68,66,4.0852,0.0509,0.9,87,1.8,40.82,1.04,-1.3017,36.7583,9000
42,802.11,2.057,19.6,67,4.0852,0.0509,0.94,85,1.9,40.82,1.04,-1.3018,36.7583,9000
44,800.8,2.072,19.54,66,4.0852,0.051,1,83,1.9,40.82,1.04,-1.3018,36.7582,9000
46,799.3,2.088,19.46,66,4.0852,0.0511,1.06,82,1.9,40.82,1.04,-1.3018,36.7582,9000
48,797.71,2.105,19.28,67,4.0853,0.0512,1.12,82,2,40.82,1.04,-1.3018,36.7582,9000
50,796.08,2.122,19.13,67,4.0853,0.0513,1.19,82,2,40.82,1.04,-1.3019,36.7582,9000
52,794.61,2.138,18.98,68,4.0444,0.0509,1.25,83,2.1,40.82,1.03,-1.3019,36.7582,9000
54,793.14,2.154,18.75,69,4.0444,0.051,1.3,85,2.1,40.82,1.03,-1.3018,36.7582,9000
56,791.77,2.169,18.52,68,4.0037,0.0506,1.36,87,2.2,40.83,1.02,-1.3017,36.7581,9000
58,790.65,2.181,18.41,69,4.0037,0.0506,1.4,89,2.2,40.83,1.02,-1.3018,36.758,9000
60,789.4,2.195,18.25,69,4.0037,0.0507,1.45,91,2.2,40.83,1.02,-1.3018,36.7579,9000
62,788.12,2.209,18.03,68,4.0037,0.0508,1.51,93,2.2,40.83,1.02,-1.3019,36.7579,9000
64,786.93,2.222,17.93,68,4.0037,0.0509,1.55,94,2.2,40.83,1.02,-1.3019,36.7578,9000
66,785.56,2.237,17.84,69,4.0037,0.051,1.61,95,2.2,40.83,1.02,-1.3019,36.7578,9000
68,784.12,2.253,17.67,71,4.0038,0.0511,1.67,94,2.1,40.83,1.02,-1.3019,36.7577,9000
70,782.7,2.268,17.5,73,4.0446,0.0517,1.72,93,2,40.84,1.03,-1.3018,36.7576,9000
72,781.27,2.284,17.4,73,4.0446,0.0518,1.78,90,2,40.84,1.03,-1.3017,36.7576,9000
74,779.63,2.302,17.24,73,4.0446,0.0519,1.85,86,2,40.84,1.03,-1.3017,36.7577,9000
76,777.88,2.321,17.01,73,4.0446,0.052,1.92,82,2,40.84,1.03,-1.3017,36.7577,9000
78,776.33,2.338,16.85,72,4.0038,0.0516,1.98,77,2,40.84,1.02,-1.3017,36.7576,9000
80,774.96,2.353,16.78,69,4.0039,0.0517,2.04,73,2.1,40.85,1.02,-1.3018,36.7576,9000
82,773.58,2.368,16.65,69,3.9632,0.0512,2.1,70,2.2,40.86,1.01,-1.3018,36.7576,9000
84,772.13,2.384,16.42,73,3.9633,0.0513,2.16,67,2.3,40.87,1.01,-1.3018,36.7575,9000
