Title:,"Time Series, Area-Averaged of Combined Dark Target and Deep Blue AOD at 0.55 micron for land and (daily)"
User Start Date:,2003-01-01T00:00:00Z
User End Date:,2022-12-31T23:59:59Z
User Bounding Box:,
Data Bounding Box:,
URL to Reproduce Results:,https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2003-01-01T00:00:00Z&endtime=2022-12-31T23:59:59Z&shape=state_dept_countries_2017/shp_116&&data=MYD08_D3_6_1_AOD_550_Dark_Target_Deep_Blue_Combined_Mean&portal=GIOVANNI&format=json
Fill Value (mean_MYD08_D3_6_1_AOD_550_Dark_Target_Deep_Blue_Combined_Mean):,-9999
, mean_MYD08_D3_6_1_AOD_550_Dark_Target_Deep_Blue_Combined_Mean
time,mean_MYD08_D3_6_1_AOD_550_Dark_Target_Deep_Blue_Combined_Mean
1/1/2003,0.179891528
1/2/2003,0.17568374
1/3/2003,0.186048612
1/4/2003,0.184421713
1/5/2003,0.139056109
1/6/2003,0.162073921
1/7/2003,0.136910304
1/8/2003,0.111358739
1/9/2003,0.124089372
1/10/2003,0.146334246
1/11/2003,0.13607314
1/12/2003,0.154183533
1/13/2003,0.122562419
1/14/2003,0.08149333
1/15/2003,0.086897592
1/16/2003,0.082327445
1/17/2003,0.091164083
1/18/2003,0.155137273
1/19/2003,0.11738144
1/20/2003,0.130239029
1/21/2003,0.113047483
1/22/2003,0.147169782
1/23/2003,0.104627737
1/24/2003,0.104141922
1/25/2003,0.070083831
1/26/2003,0.083893545
1/27/2003,0.079503049
1/28/2003,0.067925494
1/29/2003,0.062102509
1/30/2003,0.050738081
1/31/2003,0.06119075
2/1/2003,0.040960914
2/2/2003,0.065243011
2/3/2003,0.084096172
2/4/2003,0.060585176
2/5/2003,0.098402966
2/6/2003,0.152018607
2/7/2003,0.187517469
2/8/2003,0.222522555
2/9/2003,0.147046626
2/10/2003,0.130795248
2/11/2003,0.216005023
2/12/2003,0.149699656
2/13/2003,0.256526734
2/14/2003,0.349322132
2/15/2003,0.229537731
2/16/2003,0.161132947
2/17/2003,0.073106508
2/18/2003,0.102173653
2/19/2003,0.163614695
2/20/2003,0.0679186
2/21/2003,0.039327872
2/22/2003,0.047310808
2/23/2003,0.09646106
2/24/2003,0.095600183
2/25/2003,0.092824736
2/26/2003,0.085353794
2/27/2003,0.087606048
2/28/2003,0.064715637
3/1/2003,0.060450063
3/2/2003,0.039067159
3/3/2003,0.077420833
3/4/2003,0.094618625
3/5/2003,0.19813642
3/6/2003,0.207409613
3/7/2003,0.175259969
3/8/2003,0.160790683
3/9/2003,0.16744843
3/10/2003,0.095345292
3/11/2003,0.144730871
3/12/2003,0.132062259
3/13/2003,0.137365862
3/14/2003,-9999
3/15/2003,0.179779532
3/16/2003,0.21048133
3/17/2003,0.103781817
3/18/2003,0.115348009
3/19/2003,0.047759865
3/20/2003,0.123966514
3/21/2003,0.125060866
3/22/2003,0.16865405
3/23/2003,0.176835326
3/24/2003,0.171366482
3/25/2003,0.092672727
3/26/2003,0.093469189
3/27/2003,0.103707426
3/28/2003,0.059398646
3/29/2003,0.122230341
3/30/2003,#NAME?
3/31/2003,0.059635755
4/1/2003,0.047074235
4/2/2003,0.065596482
4/3/2003,0.12968611
4/4/2003,0.129433403
4/5/2003,0.093673885
4/6/2003,0.140173999
4/7/2003,0.148588918
4/8/2003,0.131869138
4/9/2003,0.110037946
4/10/2003,0.082152512
4/11/2003,0.096745538
4/12/2003,0.123978433
4/13/2003,0.110471197
4/14/2003,0.231345079
4/15/2003,0.131173931
4/16/2003,0.185244791
4/17/2003,0.123975078
4/18/2003,0.257402136
4/19/2003,0.208610363
4/20/2003,0.102399315
4/21/2003,0.083079021
4/22/2003,0.109906604
4/23/2003,0.120149002
4/24/2003,0.040276387
4/25/2003,0.068397842
4/26/2003,0.127000006
4/27/2003,0.202587311
4/28/2003,0.134000006
4/29/2003,0.176697805
4/30/2003,0.189794177
5/1/2003,0.17528852
5/2/2003,0.161660257
5/3/2003,0.11658199
5/4/2003,0.15200097
5/5/2003,0.239230428
5/6/2003,0.159815896
5/7/2003,0.207666295
5/8/2003,0.201195542
5/9/2003,0.21624129
5/10/2003,0.205260615
5/11/2003,0.170418499
5/12/2003,-9999
5/13/2003,0.201508879
5/14/2003,0.184959379
5/15/2003,0.137464061
5/16/2003,0.130350186
5/17/2003,0.194273187
5/18/2003,0.101773739
5/19/2003,0.123941663
5/20/2003,0.119542814
5/21/2003,0.112966848
5/22/2003,0.123142815
5/23/2003,0.127115669
5/24/2003,0.153102859
5/25/2003,0.15296066
5/26/2003,0.09301729
5/27/2003,0.113488788
5/28/2003,0.151628137
5/29/2003,0.142457204
5/30/2003,0.328463179
5/31/2003,0.117389924
6/1/2003,0.115523122
6/2/2003,0.109243255
6/3/2003,0.131091292
6/4/2003,0.126395569
