pcdate pctime time date  flags o3 hio3 cellai cellbi bncht lmpt o3lt flowa flowb pres
2021-10-17 01:30:01 01:30 10-17-21 0C100000 31.164 0.000 76112 76622 31.1 53.2 0.0 0.484 0.486 493.1
2021-10-17 01:31:01 01:31 10-17-21 0C100000 32.183 0.000 76112 76624 31.1 53.2 0.0 0.484 0.484 493.1
2021-10-17 01:32:01 01:32 10-17-21 0C100000 31.891 0.000 76117 76628 31.1 53.2 0.0 0.484 0.484 493.1
2021-10-17 01:33:01 01:33 10-17-21 0C100000 31.622 0.000 76106 76618 31.1 53.2 0.0 0.486 0.486 493.1
2021-10-17 01:34:01 01:34 10-17-21 0C100000 31.835 0.000 76109 76620 31.1 53.1 0.0 0.487 0.487 493.4
2021-10-17 01:35:01 01:35 10-17-21 0C100000 31.547 0.000 76111 76622 31.1 53.2 0.0 0.487 0.488 493.1
2021-10-17 01:36:01 01:36 10-17-21 0C100000 32.040 0.000 76109 76622 31.1 53.2 0.0 0.488 0.488 493.1
2021-10-17 01:37:00 01:36 10-17-21 0C100000 32.040 0.000 76109 76622 31.1 53.2 0.0 0.488 0.488 493.1
2021-10-17 01:38:01 01:38 10-17-21 0C100000 30.940 0.000 76108 76618 31.1 53.2 0.0 0.487 0.488 493.1
2021-10-17 01:39:01 01:39 10-17-21 0C100000 30.392 0.000 76120 76630 31.1 53.2 0.0 0.485 0.485 493.4
