pcdate pctime time date flags o3 hio3 cellai cellbi bncht lmpt o3lt flowa flowb pres
2023-10-22 04:30:01 04:29 10-23-23 0C100400 26.215 0.000 54024 53294 32.2 53.2 0.0 0.460 0.000 494.3
2023-10-22 04:31:01 04:30 10-23-23 0C100400 24.811 0.000 54025 53294 32.2 53.1 0.0 0.459 0.000 494.3
2023-10-22 04:32:01 04:31 10-23-23 0C100400 24.989 0.000 54028 53296 32.2 53.2 0.0 0.458 0.000 494.6
2023-10-22 04:33:01 04:32 10-23-23 0C100400 26.228 0.000 54026 53295 32.2 53.2 0.0 0.456 0.000 494.6
2023-10-22 04:34:01 04:33 10-23-23 0C100400 26.857 0.000 54028 53298 32.2 53.2 0.0 0.462 0.000 494.3
2023-10-22 04:35:01 04:34 10-23-23 0C100400 27.133 0.000 54024 53293 32.2 53.2 0.0 0.458 0.000 494.3
2023-10-22 04:36:01 04:35 10-23-23 0C100400 26.623 0.000 54026 53295 32.2 53.2 0.0 0.456 0.000 494.6
2023-10-22 04:37:01 04:36 10-23-23 0C100400 25.521 0.000 54023 53292 32.2 53.2 0.0 0.461 0.000 494.3
2023-10-22 04:38:01 04:37 10-23-23 0C100400 25.946 0.000 54027 53295 32.2 53.2 0.0 0.464 0.000 494.6
2023-10-22 04:39:00 04:38 10-23-23 0C100400 25.961 0.000 54025 53293 32.1 53.2 0.0 0.462 0.000 494.6
